table,column_name,dtype,description,lineage
golf,player_name,string,,
golf,round_dt,datetime64[ns],,
golf,facility,string,,
golf,course,string,,
golf,round_score,Int64,,
golf,round_fairway_hits,Int64,,
golf,round_putts,Int64,,
golf,round_gir,float64,,
golf,hole_number,Int64,,
golf,hole_par,Int64,,
golf,hole_fairway_hit_type,string,,
golf,hole_fairway_hits,Int64,,
golf,hole_putts,Int64,,
golf,hole_score,Int64,,
golf,hole_gir,string,,
golf,shot_club,string,,
golf,shot_direction,string,,
golf,shot_start_lat,Float64,,
golf,shot_start_lon,Float64,,
golf,shot_end_lat,Float64,,
golf,shot_end_lon,Float64,,
golf,yardage,Float64,,
golf,yardage_to_pin,Float64,,
golf,row_id,int64,,
golf,yardage_calc,float64,,
golf,yardage_error,Float64,,
golf,yardage_error_abs,Float64,,
golf,yardage_error_pct,Float64,,
golf,yardage_suspect,boolean,,
golf_valid_hole_features,hole_par_bucket,string,,
golf_valid_hole_features,hole_strokes_over_par,Int64,,
golf_valid_hole_features,hole_score_name,string,,
golf_valid_hole_features,hole_gir,boolean,,
golf_valid_hole_features,hole_fairway_strokes,Int64,,
golf_valid_hole_features_putting,hole_putts_over_expected,Int64,,
golf_valid_hole_features_putting,hole_putts_3plus,boolean,,
golf_valid_hole_features_putting,hole_gir_putts_3plus,boolean,,
golf_valid_hole_features_putting,hole_notgir_putts_3plus,boolean,,
golf_valid_hole_outcome_features,hole_scramble_opportunity,boolean,,
golf_valid_hole_outcome_features,hole_scramble_success,boolean,,
golf_valid_hole_outcome_features,hole_gir_wasted,boolean,,
golf_valid_hole_outcome_features,hole_notgir_chip_in,boolean,,
golf_valid_hole_outcome_features,hole_is_scoring_chance,boolean,,
golf_valid_hole_outcome_features,hole_is_recovery,boolean,,
player_club_profile,player_name,string,,
player_club_profile,shot_club,string,,
player_club_profile,shot_count,Int64,Number of shots for this player+club,
player_club_profile,yardage_mean,Float64,Average yardage,
player_club_profile,yardage_std,Float64,Std dev of yardage,
player_club_profile,yardage_min,Float64,Shortest shot observed,
player_club_profile,yardage_max,Float64,Longest shot observed,
player_club_profile,yardage_p25,Float64,25th percentile yardage,
player_club_profile,yardage_p50,Float64,50th percentile yardage (plan_distance_short),
player_club_profile,yardage_p65,Float64,65th percentile yardage (plan_distance_hit),
player_club_profile,yardage_p80,Float64,80th percentile yardage (plan_distance_long),
player_club_profile,yardage_p90,Float64,90th percentile yardage (rarely achieved distance),
player_club_profile,top5_max_yardages,object,5 longest shots logged for this player+club,
player_club_profile,plan_distance_short,Float64,Conservative / typical planning distance,
player_club_profile,plan_distance_hit,Float64,Realistic target planning distance,
player_club_profile,plan_distance_long,Float64,Strong-strike planning distance,
player_club_profile,app_pct_unknown,float64,% outcomes marked Unknown by the app,
player_club_profile,app_pct_left,float64,% outcomes marked Left by the app,
player_club_profile,app_pct_right,float64,% outcomes marked Right by the app,
player_club_profile,app_pct_short,float64,% outcomes marked Short by the app,
player_club_profile,app_pct_long,float64,% outcomes marked Long by the app,
player_club_profile,app_pct_hit,float64,% outcomes marked Hit by the app,
player_club_profile,shots_sufficient,boolean,True if shot_count ≥ 5,
player_club_hole_dispersion,player_name,object,,
player_club_hole_dispersion,shot_club,object,,
player_club_hole_dispersion,facility,object,,
player_club_hole_dispersion,course,object,,
player_club_hole_dispersion,hole_number,int64,,
player_club_hole_dispersion,shots_used,int64,Number of shots on this hole used for dispersion,
player_club_hole_dispersion,left_dispersion_yards,float64,50th percentile leftward miss (absolute yards),
player_club_hole_dispersion,right_dispersion_yards,float64,50th percentile rightward miss (yards),
player_club_hole_dispersion,total_dispersion_yards,float64,Left + right dispersion at chosen percentile,
player_club_hole_dispersion,length_p50,float64,Median distance along line-of-play for this player/club/hole,
player_club_hole_dispersion,length_pX,float64,50th percentile distance along line-of-play,
player_club_hole_dispersion,length_max,float64,Maximum distance along line-of-play (furthest projected shot),
player_club_hole_dispersion,calc_start_lat,float64,Latitude of hole line-of-play origin (first shot start),
player_club_hole_dispersion,calc_start_lon,float64,Longitude of hole line-of-play origin (first shot start),
player_club_hole_dispersion,calc_end_lat,float64,Latitude of hole line-of-play target (last shot end),
player_club_hole_dispersion,calc_end_lon,float64,Longitude of hole line-of-play target (last shot end),
player_club_dispersion_rollup,player_name,object,Player identifier as recorded in shots,
player_club_dispersion_rollup,shot_club,object,Club name / label as captured by the app,
player_club_dispersion_rollup,holes_contributing,int64,Number of hole-level dispersion rows used for this player+club,
player_club_dispersion_rollup,club_left_dispersion_yards,float64,Final left dispersion in yards for this player+club (shot-weighted if enabled),
player_club_dispersion_rollup,club_right_dispersion_yards,float64,Final right dispersion in yards for this player+club (shot-weighted if enabled),
player_club_dispersion_rollup,club_total_dispersion_yards,float64,Left + right dispersion — typical width for this club,
player_club_dispersion_rollup,total_shots_used,int64,Total number of shots across all contributing holes,
player_club_dispersion_rollup,dispersion_sufficient,bool,True if at least 2 holes contributed data,
player_club_profile,player_name,object,,
player_club_profile,shot_club,object,,
